Datum,Altersgruppe,Todesfaelle,Todesfaelle_gesamt
2021-W19,00-04,0,7
2021-W19,00+,1333,85751
2021-W19,05-14,1,6
2021-W19,15-34,8,152
2021-W19,35-59,129,3356
2021-W19,60-79,578,24825
2021-W19,80+,617,57401
2021-W20,00-04,1,8
2021-W20,00+,1296,87047
2021-W20,05-14,0,6
2021-W20,15-34,7,159
2021-W20,35-59,139,3495
2021-W20,60-79,608,25433
2021-W20,80+,541,57942
2021-W21,00-04,0,8
2021-W21,00+,1036,88083
2021-W21,05-14,0,6
2021-W21,15-34,7,166
2021-W21,35-59,107,3602
2021-W21,60-79,465,25898
2021-W21,80+,457,58399
2021-W22,00-04,0,8
2021-W22,00+,825,88908
2021-W22,05-14,0,6
2021-W22,15-34,5,171
2021-W22,35-59,83,3685
2021-W22,60-79,364,26262
2021-W22,80+,373,58772
2021-W23,00-04,0,8
2021-W23,00+,626,89534
2021-W23,05-14,0,6
2021-W23,15-34,3,174
2021-W23,35-59,73,3758
2021-W23,60-79,278,26540
2021-W23,80+,272,59044
2021-W24,00-04,1,9
2021-W24,00+,550,90084
2021-W24,05-14,0,6
2021-W24,15-34,4,178
2021-W24,35-59,62,3820
2021-W24,60-79,218,26758
2021-W24,80+,265,59309
2021-W25,00-04,1,10
2021-W25,00+,371,90455
2021-W25,05-14,0,6
2021-W25,15-34,3,181
2021-W25,35-59,42,3862
2021-W25,60-79,168,26926
2021-W25,80+,157,59466
2021-W26,00-04,0,10
2021-W26,00+,280,90735
2021-W26,05-14,0,6
2021-W26,15-34,0,181
2021-W26,35-59,36,3898
2021-W26,60-79,127,27053
2021-W26,80+,117,59583
2021-W27,00-04,0,10
2021-W27,00+,208,90943
2021-W27,05-14,0,6
2021-W27,15-34,2,183
2021-W27,35-59,31,3929
2021-W27,60-79,90,27143
2021-W27,80+,85,59668
2021-W28,00-04,0,10
2021-W28,00+,133,91076
2021-W28,05-14,0,6
2021-W28,15-34,0,183
2021-W28,35-59,21,3950
2021-W28,60-79,64,27207
2021-W28,80+,48,59716
2021-W29,00-04,0,10
2021-W29,00+,165,91241
2021-W29,05-14,0,6
2021-W29,15-34,1,184
2021-W29,35-59,20,3970
2021-W29,60-79,59,27266
2021-W29,80+,85,59801
2021-W30,00-04,0,10
2021-W30,00+,136,91377
2021-W30,05-14,0,6
2021-W30,15-34,1,185
2021-W30,35-59,26,3996
2021-W30,60-79,57,27323
2021-W30,80+,52,59853
2021-W31,00-04,0,10
2021-W31,00+,120,91497
2021-W31,05-14,0,6
2021-W31,15-34,1,186
2021-W31,35-59,10,4006
2021-W31,60-79,46,27369
2021-W31,80+,63,59916
2021-W32,00-04,0,10
2021-W32,00+,93,91590
2021-W32,05-14,0,6
2021-W32,15-34,1,187
2021-W32,35-59,8,4014
2021-W32,60-79,43,27412
2021-W32,80+,41,59957
2021-W33,00-04,0,10
2021-W33,00+,116,91706
2021-W33,05-14,0,6
2021-W33,15-34,0,187
2021-W33,35-59,15,4029
2021-W33,60-79,47,27459
2021-W33,80+,54,60011
2021-W34,00-04,1,11
2021-W34,00+,155,91861
2021-W34,05-14,0,6
2021-W34,15-34,3,190
2021-W34,35-59,17,4046
2021-W34,60-79,60,27519
2021-W34,80+,74,60085
2021-W35,00-04,1,12
2021-W35,00+,238,92099
2021-W35,05-14,0,6
2021-W35,15-34,1,191
2021-W35,35-59,32,4078
2021-W35,60-79,76,27595
2021-W35,80+,128,60213
2021-W36,00-04,0,12
2021-W36,00+,273,92372
2021-W36,05-14,1,7
2021-W36,15-34,2,193
2021-W36,35-59,43,4121
2021-W36,60-79,84,27679
2021-W36,80+,143,60356
2021-W37,00-04,0,12
2021-W37,00+,392,92764
2021-W37,05-14,0,7
2021-W37,15-34,7,200
2021-W37,35-59,49,4170
2021-W37,60-79,130,27809
2021-W37,80+,206,60562
2021-W38,00-04,0,12
2021-W38,00+,382,93146
2021-W38,05-14,0,7
2021-W38,15-34,4,204
2021-W38,35-59,53,4223
2021-W38,60-79,132,27941
2021-W38,80+,193,60755
2021-W39,00-04,0,12
2021-W39,00+,393,93539
2021-W39,05-14,0,7
2021-W39,15-34,9,213
2021-W39,35-59,44,4267
2021-W39,60-79,143,28084
2021-W39,80+,197,60952
2021-W40,00-04,0,12
2021-W40,00+,412,93951
2021-W40,05-14,0,7
2021-W40,15-34,4,217
2021-W40,35-59,49,4316
2021-W40,60-79,140,28224
2021-W40,80+,219,61171
2021-W41,00-04,0,12
2021-W41,00+,418,94369
2021-W41,05-14,0,7
2021-W41,15-34,3,220
2021-W41,35-59,48,4364
2021-W41,60-79,137,28361
2021-W41,80+,230,61401
2021-W42,00-04,1,13
2021-W42,00+,492,94861
2021-W42,05-14,0,7
2021-W42,15-34,3,223
2021-W42,35-59,42,4406
2021-W42,60-79,142,28503
2021-W42,80+,304,61705
2021-W43,00-04,0,13
2021-W43,00+,626,95487
2021-W43,05-14,1,8
2021-W43,15-34,7,230
2021-W43,35-59,41,4447
2021-W43,60-79,188,28691
2021-W43,80+,389,62094
2021-W44,00-04,0,13
2021-W44,00+,794,96281
2021-W44,05-14,2,10
2021-W44,15-34,6,236
2021-W44,35-59,60,4507
2021-W44,60-79,237,28928
2021-W44,80+,489,62583
2021-W45,00-04,0,13
2021-W45,00+,1146,97427
2021-W45,05-14,1,11
2021-W45,15-34,4,240
2021-W45,35-59,77,4584
2021-W45,60-79,307,29235
2021-W45,80+,757,63340
2021-W46,00-04,0,13
2021-W46,00+,1383,98810
2021-W46,05-14,2,13
2021-W46,15-34,6,246
2021-W46,35-59,93,4677
2021-W46,60-79,421,29656
2021-W46,80+,860,64200
2021-W47,00-04,0,13
2021-W47,00+,1801,100611
2021-W47,05-14,0,13
2021-W47,15-34,9,255
2021-W47,35-59,113,4790
2021-W47,60-79,557,30213
2021-W47,80+,1122,65322
2021-W48,00-04,0,13
2021-W48,00+,2156,102767
2021-W48,05-14,0,13
2021-W48,15-34,6,261
2021-W48,35-59,153,4943
2021-W48,60-79,676,30889
2021-W48,80+,1321,66643
2021-W49,00-04,1,14
2021-W49,00+,2594,105361
2021-W49,05-14,1,14
2021-W49,15-34,12,273
2021-W49,35-59,173,5116
2021-W49,60-79,821,31710
2021-W49,80+,1586,68229
2021-W50,00-04,1,15
2021-W50,00+,2596,107957
2021-W50,05-14,0,14
2021-W50,15-34,10,283
2021-W50,35-59,220,5336
2021-W50,60-79,922,32632
2021-W50,80+,1443,69672
2021-W51,00-04,0,15
2021-W51,00+,2120,110077
